model,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
lr,0.48,0.8048819724320114,0.11340584137846756,0.6850393700787402,0.19459686156642086,2784,21765,92279,1280
lr,0.49,0.8139076099840824,0.1170208217538159,0.6734744094488189,0.19939533020070668,2737,20652,93392,1327
lr,0.5,0.8227131100348833,0.12121212121212122,0.6643700787401575,0.20501917308933523,2700,19575,94469,1364
lr,0.51,0.8305279913299691,0.1249412207279225,0.6537893700787402,0.20979076194236085,2657,18609,95435,1407
lr,0.52,0.8377332610830766,0.12880389361388328,0.6446850393700787,0.21471010038926447,2620,17721,96323,1444
lr,0.53,0.8447522606428015,0.1325437693099897,0.6333661417322834,0.21921308124680636,2574,16846,97198,1490
lr,0.54,0.8516781251058353,0.13673182849119775,0.6230314960629921,0.22424940217872638,2532,15986,98058,1532
lr,0.55,0.8579097097571714,0.14040940963582899,0.6109744094488189,0.22834283612286185,2483,15201,98843,1581
lr,0.56,0.8641412944085075,0.14432438850629303,0.5981791338582677,0.23254256743830112,2431,14413,99631,1633
lr,0.5700000000000001,0.8696701324211739,0.14810213083183202,0.5866141732283464,0.23649620554535986,2384,13713,100331,1680
lr,0.58,0.8746401598536933,0.15186673580502982,0.5765255905511811,0.2404063205417607,2343,13085,100959,1721
lr,0.59,0.8793223151691673,0.15547440319199296,0.5656988188976378,0.2439127897724259,2299,12488,101556,1765
lr,0.6,0.8838859349070343,0.15997181113460182,0.5585629921259843,0.24871261093458968,2270,11920,102124,1794
lr,0.61,0.8886527584922275,0.164562569213732,0.5484744094488189,0.25316599466182066,2229,11316,102728,1835
lr,0.62,0.8934195820774207,0.16966361804371416,0.5386318897637795,0.2580455027702464,2189,10713,103331,1875
lr,0.63,0.8973735902733092,0.17393767705382437,0.5287893700787402,0.26176990072477013,2149,10206,103838,1915
lr,0.64,0.9014546008737765,0.17867141766352762,0.5182086614173228,0.265724559964671,2106,9681,104363,1958
lr,0.65,0.9052816066650862,0.18384376387039503,0.5095964566929134,0.27020679757322724,2071,9194,104850,1993
lr,0.66,0.908871541301182,0.18902608857116332,0.5009842519685039,0.27448601280754975,2036,8735,105309,2028
lr,0.67,0.9120466014156535,0.193366951124903,0.4906496062992126,0.27740678909293265,1994,8318,105726,2070
lr,0.68,0.9150692586446303,0.1981179803703329,0.48179133858267714,0.28077722807772276,1958,7925,106119,2106
lr,0.6900000000000001,0.9181681173163545,0.20355668466179738,0.4731791338582677,0.28465694619199167,1923,7524,106520,2141
lr,0.7000000000000001,0.921123039929556,0.20932034536196592,0.4653051181102362,0.2887463734921362,1891,7143,106901,2173
lr,0.71,0.9232651471534528,0.2126681227727325,0.4552165354330709,0.289900493614354,1850,6849,107195,2214
lr,0.72,0.9255511904358723,0.2164528120877803,0.44414370078740156,0.2910586148512457,1805,6534,107510,2259
lr,0.73,0.9278626341992076,0.22143035758939736,0.4357775590551181,0.2936494776985575,1771,6227,107817,2293
lr,0.74,0.9298862058454973,0.22534844340237073,0.4256889763779528,0.2946938080231667,1730,5947,108097,2334
lr,0.75,0.9318928438378433,0.2302060737527115,0.41781496062992124,0.29685314685314684,1698,5678,108366,2366
lr,0.76,0.9336962779828631,0.23332861390344045,0.40551181102362205,0.2962164105329379,1648,5415,108629,2416
lr,0.77,0.935491245300911,0.23833357868393934,0.3983759842519685,0.2982407663258727,1619,5174,108870,2445
lr,0.78,0.9373031462729028,0.24311856066430879,0.3890255905511811,0.29923346266679285,1581,4922,109122,2483
lr,0.79,0.9389118433975683,0.24804094034863267,0.38164370078740156,0.30066879906949695,1551,4702,109342,2513
